Producto,Cantidad,Precio_Unitario,Fecha_Venta,Vendedor
Mouse,1,759 USD,01-01-2026,Pedro Gómez
Laptop,cuatro,818 USD,2026-01-01,Diego Díaz
Monitor,3 ,593 USD,2026.01.01,Sofía Giménez
Laptop,cuatro,931 USD,2026.01.01,Valeria Sosa
Monitor,cuatro,34 USD,2026.01.01,Facundo Acosta
Monitor,cuatro,746 USD,2026.01.01,Pedro Gómez
Mouse,cuatro,513 USD,2026.01.01,Andrés Benítez
Monitor,3 ,935 USD,2026.01.01,Lucía Sánchez
Monitor,3 ,484 USD,2026-01-01,Pedro Gómez
Mouse,cuatro,676 USD,2026-01-01,Ana Martínez
Mouse, 2,293 USD,2026.01.01,Elena Torres
Laptop,3 ,926 USD,2026-01-01,Elena Torres
Mouse,5,190 USD,01-01-2026,Elena Torres
Teclado,5,104 USD,2026-01-01,Jorge Romero
Mouse,3 ,11 USD,01-01-2026,Elena Torres
Laptop,cuatro,788 USD,2026-01-01,Lucía Sánchez
Mouse,3 ,872 USD,01-01-2026,Carlos López
Mouse,cuatro,508 USD,2026.01.01,Lucía Sánchez
Mouse,cuatro,173 USD,2026-01-01,Facundo Acosta
Laptop,3 ,722 USD,2026-01-01,Andrés Benítez
Teclado,1,717 USD,01-01-2026,María García
Mouse, 2,183 USD,2026.01.01,Carlos López
Monitor,3 ,548 USD,2026.01.01,Valeria Sosa
Teclado,cuatro,975 USD,2026.01.01,Pedro Gómez
Laptop, 2,971 USD,2026.01.01,Elena Torres
Laptop,1,584 USD,01-01-2026,Pedro Gómez
Laptop,1,726 USD,2026-01-01,Juan Pérez
Teclado,5,292 USD,2026-01-01,Juan Pérez
Laptop, 2,701 USD,2026.01.01,Ana Martínez
Mouse,5,81 USD,2026.01.01,Elena Torres
Monitor, 2,645 USD,2026-01-01,Jorge Romero
Laptop, 2,681 USD,01-01-2026,Diego Díaz
Mouse, 2,100 USD,2026.01.01,Ana Martínez
Mouse,cuatro,489 USD,01-01-2026,María García
Teclado,3 ,692 USD,2026.01.01,Jorge Romero
Monitor,cuatro,829 USD,2026.01.01,Elena Torres
Teclado,cuatro,811 USD,2026-01-01,Facundo Acosta
Teclado,1,319 USD,01-01-2026,Elena Torres
Teclado,1,241 USD,2026-01-01,Sofía Giménez
Laptop, 2,953 USD,2026-01-01,Jorge Romero
Monitor,cuatro,411 USD,2026-01-01,Ana Martínez
Teclado,3 ,860 USD,2026.01.01,Pedro Gómez
Mouse,3 ,773 USD,01-01-2026,Pedro Gómez
Monitor,cuatro,571 USD,2026-01-01,Ana Martínez
Monitor,1,326 USD,2026-01-01,Sara Ruiz
Laptop,5,403 USD,2026-01-01,Facundo Acosta
Monitor,3 ,632 USD,2026-01-01,Sara Ruiz
Monitor,1,197 USD,2026-01-01,Luis Fernández
Laptop,1,472 USD,2026.01.01,Elena Torres
Mouse,5,910 USD,2026-01-01,Juan Pérez
Mouse,cuatro,149 USD,01-01-2026,Carlos López
Teclado,5,388 USD,2026-01-01,Sofía Giménez
Teclado, 2,979 USD,2026.01.01,Pedro Gómez
Teclado,cuatro,678 USD,2026-01-01,Andrés Benítez
Laptop,cuatro,92 USD,01-01-2026,Pedro Gómez
Monitor,3 ,488 USD,2026.01.01,Carlos López
Monitor,5,738 USD,2026.01.01,María García
Teclado,5,823 USD,01-01-2026,Ana Martínez
Teclado,3 ,220 USD,01-01-2026,Jorge Romero
Mouse,1,861 USD,2026-01-01,Pedro Gómez
Teclado,3 ,536 USD,01-01-2026,Juan Pérez
Mouse,cuatro,554 USD,01-01-2026,Luis Fernández
Monitor,5,899 USD,2026-01-01,Ana Martínez
Mouse, 2,413 USD,2026.01.01,Diego Díaz
Laptop,1,974 USD,01-01-2026,Andrés Benítez
Monitor, 2,821 USD,2026-01-01,Luis Fernández
Laptop,3 ,284 USD,01-01-2026,Ana Martínez
Mouse,1,629 USD,01-01-2026,Elena Torres
Laptop,5,360 USD,01-01-2026,Lucía Sánchez
Monitor,5,433 USD,2026.01.01,María García
Monitor,cuatro,845 USD,2026-01-01,María García
Laptop,5,385 USD,2026.01.01,Sofía Giménez
Laptop,1,434 USD,01-01-2026,Luis Fernández
Teclado,cuatro,129 USD,2026.01.01,Diego Díaz
Teclado, 2,918 USD,2026.01.01,Andrés Benítez
Monitor,1,990 USD,2026-01-01,Juan Pérez
Laptop, 2,259 USD,2026-01-01,Lucía Sánchez
Teclado,cuatro,535 USD,01-01-2026,Carlos López
Monitor,5,499 USD,2026-01-01,Juan Pérez
Teclado,1,452 USD,2026.01.01,Andrés Benítez
Teclado,3 ,744 USD,01-01-2026,Diego Díaz
Laptop,1,235 USD,2026-01-01,Lucía Sánchez
Teclado,cuatro,763 USD,01-01-2026,Ana Martínez
Laptop,3 ,456 USD,01-01-2026,Elena Torres
Teclado,5,15 USD,2026-01-01,Sofía Giménez
Mouse,5,150 USD,2026-01-01,Juan Pérez
Teclado,1,612 USD,2026-01-01,Sara Ruiz
Teclado,1,669 USD,2026-01-01,Elena Torres
Mouse, 2,661 USD,2026-01-01,Valeria Sosa
Laptop,3 ,213 USD,2026.01.01,Jorge Romero
Monitor,cuatro,769 USD,2026.01.01,Andrés Benítez
Monitor,5,506 USD,01-01-2026,Luis Fernández
Mouse,1,728 USD,2026-01-01,Ana Martínez
Mouse,3 ,549 USD,2026.01.01,Luis Fernández
Teclado,1,543 USD,2026.01.01,Ana Martínez
Mouse, 2,521 USD,2026.01.01,Juan Pérez
Laptop,3 ,828 USD,2026-01-01,María García
Monitor,cuatro,898 USD,01-01-2026,Juan Pérez
Mouse,5,902 USD,2026.01.01,María García
Teclado,5,118 USD,2026.01.01,Lucía Sánchez
Monitor,1,651 USD,2026-01-01,Valeria Sosa
Mouse,5,694 USD,2026-01-01,Lucía Sánchez
Laptop,3 ,87 USD,2026.01.01,Elena Torres
Teclado, 2,38 USD,2026-01-01,Andrés Benítez
Teclado,3 ,276 USD,2026.01.01,Juan Pérez
Monitor,cuatro,465 USD,2026-01-01,Lucía Sánchez
Laptop,3 ,854 USD,01-01-2026,Elena Torres
Laptop,cuatro,204 USD,2026-01-01,María García
Laptop,1,822 USD,01-01-2026,Jorge Romero
Mouse, 2,242 USD,2026-01-01,Lucía Sánchez
Mouse,cuatro,520 USD,01-01-2026,Pedro Gómez
Monitor,5,192 USD,2026-01-01,Pedro Gómez
Teclado, 2,597 USD,01-01-2026,Jorge Romero
Laptop, 2,757 USD,01-01-2026,Valeria Sosa
Teclado,3 ,434 USD,01-01-2026,Jorge Romero
Mouse,cuatro,350 USD,2026.01.01,Lucía Sánchez
Mouse,3 ,162 USD,2026.01.01,Lucía Sánchez
Monitor,1,406 USD,01-01-2026,Diego Díaz
Teclado,1,838 USD,2026.01.01,Juan Pérez
Laptop,1,471 USD,2026.01.01,Lucía Sánchez
Mouse,1,623 USD,01-01-2026,Andrés Benítez
Mouse,3 ,551 USD,2026-01-01,Andrés Benítez
Laptop,5,321 USD,2026-01-01,Sofía Giménez
Laptop, 2,376 USD,01-01-2026,Diego Díaz
Teclado,cuatro,691 USD,2026-01-01,Carlos López
Mouse, 2,713 USD,01-01-2026,María García
Teclado,cuatro,638 USD,2026-01-01,Elena Torres
Mouse, 2,398 USD,01-01-2026,Jorge Romero
Monitor,5,153 USD,01-01-2026,Sara Ruiz
Mouse,3 ,228 USD,01-01-2026,Diego Díaz
Laptop,cuatro,839 USD,2026-01-01,Facundo Acosta
Laptop,1,35 USD,2026-01-01,Andrés Benítez
Teclado,5,315 USD,01-01-2026,Andrés Benítez
Monitor,5,550 USD,2026-01-01,Valeria Sosa
Mouse,3 ,451 USD,2026.01.01,Jorge Romero
Teclado,1,933 USD,2026-01-01,Sofía Giménez
Mouse,cuatro,228 USD,01-01-2026,Facundo Acosta
Teclado,3 ,183 USD,2026-01-01,Jorge Romero
Mouse,1,947 USD,01-01-2026,Valeria Sosa
Laptop,1,43 USD,01-01-2026,Carlos López
Teclado,5,869 USD,2026-01-01,Lucía Sánchez
Mouse,1,445 USD,2026.01.01,Valeria Sosa
Mouse,1,381 USD,2026-01-01,Ana Martínez
Teclado, 2,810 USD,01-01-2026,Lucía Sánchez
Monitor,3 ,54 USD,2026.01.01,Ana Martínez
Laptop,1,562 USD,01-01-2026,Sofía Giménez
Monitor,5,923 USD,01-01-2026,Sara Ruiz
Laptop,1,134 USD,2026.01.01,Andrés Benítez
Mouse,5,35 USD,2026-01-01,Pedro Gómez
Mouse,5,644 USD,2026.01.01,Luis Fernández
Teclado, 2,182 USD,01-01-2026,Luis Fernández
Monitor,1,92 USD,2026-01-01,Lucía Sánchez
Teclado, 2,719 USD,01-01-2026,Carlos López
Teclado,3 ,174 USD,2026.01.01,Jorge Romero
Teclado,3 ,843 USD,2026.01.01,María García
Mouse, 2,885 USD,2026.01.01,Valeria Sosa
Mouse, 2,347 USD,2026.01.01,Valeria Sosa
Mouse, 2,897 USD,2026.01.01,Andrés Benítez
Monitor,3 ,308 USD,2026-01-01,Andrés Benítez
Teclado, 2,138 USD,2026.01.01,Carlos López
Monitor,1,763 USD,01-01-2026,Ana Martínez
Monitor, 2,463 USD,01-01-2026,Sofía Giménez
Teclado,cuatro,184 USD,01-01-2026,Juan Pérez
Mouse,3 ,969 USD,01-01-2026,María García
Laptop,1,229 USD,01-01-2026,Carlos López
Teclado,5,417 USD,01-01-2026,Sofía Giménez
Mouse,1,680 USD,2026.01.01,Andrés Benítez
Laptop,3 ,51 USD,2026.01.01,Elena Torres
Mouse,3 ,378 USD,2026.01.01,Jorge Romero
Monitor,cuatro,657 USD,2026.01.01,Lucía Sánchez
Laptop,1,648 USD,2026.01.01,Carlos López
Laptop, 2,837 USD,01-01-2026,Sofía Giménez
Monitor, 2,419 USD,2026-01-01,Sofía Giménez
Mouse,cuatro,838 USD,01-01-2026,Andrés Benítez
Teclado,3 ,965 USD,01-01-2026,Sara Ruiz
Teclado,5,760 USD,01-01-2026,Juan Pérez
Teclado,1,426 USD,2026.01.01,Carlos López
Mouse, 2,179 USD,01-01-2026,Ana Martínez
Teclado,5,940 USD,01-01-2026,Sofía Giménez
Teclado,3 ,502 USD,01-01-2026,Carlos López
Teclado,3 ,211 USD,2026-01-01,Elena Torres
Laptop, 2,573 USD,2026.01.01,Sara Ruiz
Teclado,1,500 USD,01-01-2026,Lucía Sánchez
Mouse, 2,506 USD,2026.01.01,Sofía Giménez
Laptop,3 ,517 USD,2026-01-01,Elena Torres
Teclado, 2,845 USD,2026.01.01,Pedro Gómez
Laptop,5,973 USD,2026.01.01,Lucía Sánchez
Monitor,cuatro,473 USD,2026-01-01,Diego Díaz
Monitor,cuatro,690 USD,2026.01.01,Facundo Acosta
Mouse,1,109 USD,2026.01.01,Andrés Benítez
Monitor,3 ,335 USD,2026.01.01,Andrés Benítez
Laptop, 2,719 USD,01-01-2026,María García
Laptop,1,331 USD,2026-01-01,Carlos López
Laptop,5,464 USD,01-01-2026,Andrés Benítez
Laptop, 2,634 USD,2026.01.01,Diego Díaz
Mouse,5,83 USD,2026.01.01,Andrés Benítez
Monitor,cuatro,111 USD,01-01-2026,María García
Monitor,1,627 USD,01-01-2026,Sara Ruiz
Monitor,cuatro,417 USD,2026-01-01,Luis Fernández
Mouse,cuatro,285 USD,2026.01.01,Jorge Romero
Teclado,5,778 USD,2026.01.01,Luis Fernández
Teclado,5,578 USD,2026.01.01,Diego Díaz
Monitor,5,985 USD,2026.01.01,Ana Martínez
Laptop,cuatro,228 USD,01-01-2026,Diego Díaz
Teclado,3 ,746 USD,01-01-2026,Luis Fernández
Teclado,5,629 USD,01-01-2026,María García
Teclado,5,250 USD,01-01-2026,Pedro Gómez
Laptop,1,307 USD,01-01-2026,Sofía Giménez
Teclado, 2,235 USD,2026-01-01,Lucía Sánchez
Mouse, 2,741 USD,2026-01-01,Pedro Gómez
Teclado, 2,744 USD,01-01-2026,Valeria Sosa
Monitor, 2,818 USD,01-01-2026,Jorge Romero
Monitor,cuatro,973 USD,2026-01-01,Valeria Sosa
Mouse,5,243 USD,2026.01.01,Jorge Romero
Teclado,3 ,212 USD,2026.01.01,Pedro Gómez
Mouse,3 ,209 USD,2026-01-01,Facundo Acosta
Monitor, 2,840 USD,2026.01.01,Lucía Sánchez
Mouse, 2,439 USD,2026.01.01,Sara Ruiz
Teclado,cuatro,275 USD,2026-01-01,Juan Pérez
Monitor,1,703 USD,2026-01-01,Andrés Benítez
Teclado,cuatro,733 USD,01-01-2026,Pedro Gómez
Laptop, 2,405 USD,2026.01.01,Sara Ruiz
Laptop,cuatro,955 USD,01-01-2026,Valeria Sosa
Mouse,1,14 USD,2026-01-01,Facundo Acosta
Laptop, 2,48 USD,2026.01.01,Carlos López
Monitor,1,231 USD,2026-01-01,Sofía Giménez
Laptop,3 ,644 USD,01-01-2026,Valeria Sosa
Mouse,5,439 USD,01-01-2026,Pedro Gómez
Monitor,cuatro,285 USD,2026-01-01,Pedro Gómez
Teclado, 2,399 USD,01-01-2026,María García
Laptop,3 ,745 USD,01-01-2026,Sofía Giménez
Teclado,3 ,264 USD,01-01-2026,Elena Torres
Mouse,3 ,874 USD,2026.01.01,Carlos López
Mouse,1,127 USD,2026.01.01,Carlos López
Monitor,1,171 USD,01-01-2026,Sara Ruiz
Monitor,3 ,235 USD,01-01-2026,Sofía Giménez
Laptop,5,337 USD,01-01-2026,Jorge Romero
Teclado,cuatro,656 USD,2026.01.01,Diego Díaz
Mouse,3 ,184 USD,01-01-2026,Facundo Acosta
Monitor, 2,765 USD,01-01-2026,Sofía Giménez
Monitor,5,766 USD,01-01-2026,Ana Martínez
Laptop,5,917 USD,2026.01.01,María García
Monitor,5,505 USD,01-01-2026,Carlos López
Monitor,3 ,514 USD,2026.01.01,Luis Fernández
Teclado,5,661 USD,2026.01.01,Sara Ruiz
Monitor,5,924 USD,01-01-2026,María García
Laptop,cuatro,540 USD,2026.01.01,Sofía Giménez
Teclado,3 ,133 USD,2026.01.01,Elena Torres
Teclado,5,701 USD,2026.01.01,Lucía Sánchez
Teclado,1,156 USD,01-01-2026,Andrés Benítez
Teclado,1,333 USD,2026.01.01,Facundo Acosta
Monitor, 2,331 USD,01-01-2026,Andrés Benítez
Teclado, 2,663 USD,01-01-2026,Sofía Giménez
Mouse,cuatro,980 USD,2026-01-01,Jorge Romero
Mouse,3 ,572 USD,2026.01.01,Elena Torres
Teclado,1,40 USD,2026-01-01,Lucía Sánchez
Teclado, 2,873 USD,2026.01.01,Facundo Acosta
Laptop,1,832 USD,2026-01-01,Luis Fernández
Monitor,cuatro,24 USD,2026.01.01,Juan Pérez
Laptop,1,980 USD,2026.01.01,Pedro Gómez
Laptop,1,870 USD,2026-01-01,Diego Díaz
Teclado,3 ,508 USD,01-01-2026,Sofía Giménez
Mouse,cuatro,679 USD,01-01-2026,Luis Fernández
Laptop,1,357 USD,2026-01-01,Elena Torres
Monitor,3 ,369 USD,2026-01-01,Ana Martínez
Teclado, 2,382 USD,01-01-2026,Jorge Romero
Mouse,cuatro,315 USD,2026.01.01,Diego Díaz
Monitor, 2,890 USD,01-01-2026,Jorge Romero
Laptop,3 ,618 USD,2026.01.01,Elena Torres
Monitor,cuatro,616 USD,2026.01.01,Sara Ruiz
Mouse,5,100 USD,2026.01.01,Ana Martínez
Mouse,5,889 USD,2026.01.01,Luis Fernández
Laptop,1,411 USD,2026-01-01,María García
Mouse,1,54 USD,2026-01-01,Pedro Gómez
Monitor,cuatro,453 USD,01-01-2026,Jorge Romero
Monitor,5,383 USD,01-01-2026,Andrés Benítez
Teclado,5,260 USD,2026.01.01,Facundo Acosta
Monitor,3 ,454 USD,2026.01.01,Elena Torres
Teclado,5,547 USD,2026-01-01,María García
Teclado, 2,427 USD,2026-01-01,Valeria Sosa
Teclado,1,16 USD,01-01-2026,Lucía Sánchez
Teclado,cuatro,272 USD,01-01-2026,Pedro Gómez
Laptop,1,333 USD,01-01-2026,Sofía Giménez
Teclado,3 ,453 USD,2026-01-01,Lucía Sánchez
Laptop, 2,994 USD,01-01-2026,Luis Fernández
Laptop, 2,243 USD,2026-01-01,Ana Martínez
Monitor,1,153 USD,01-01-2026,Juan Pérez
Mouse,cuatro,746 USD,2026.01.01,Valeria Sosa
Monitor,3 ,738 USD,01-01-2026,Jorge Romero
Monitor,5,744 USD,2026-01-01,Carlos López
Monitor, 2,377 USD,2026-01-01,Jorge Romero
Teclado,3 ,670 USD,2026-01-01,Valeria Sosa
Teclado,3 ,464 USD,2026-01-01,Juan Pérez
Monitor, 2,94 USD,2026.01.01,Pedro Gómez
Mouse, 2,616 USD,2026.01.01,Jorge Romero
Monitor, 2,534 USD,2026-01-01,Pedro Gómez
Teclado,1,633 USD,2026-01-01,Diego Díaz
Laptop,cuatro,807 USD,01-01-2026,Jorge Romero
Mouse,cuatro,341 USD,01-01-2026,Lucía Sánchez
Laptop,3 ,142 USD,01-01-2026,Valeria Sosa
Mouse,1,328 USD,01-01-2026,Juan Pérez
Teclado,1,687 USD,2026-01-01,Ana Martínez
Laptop,cuatro,555 USD,01-01-2026,Sara Ruiz
Teclado, 2,930 USD,01-01-2026,Ana Martínez
Mouse,1,774 USD,2026-01-01,Andrés Benítez
Teclado,cuatro,136 USD,01-01-2026,Elena Torres
Teclado, 2,85 USD,01-01-2026,Facundo Acosta
Teclado,1,380 USD,01-01-2026,Jorge Romero
Mouse,3 ,257 USD,01-01-2026,Valeria Sosa
Monitor,3 ,768 USD,2026-01-01,Jorge Romero
Mouse,5,772 USD,2026.01.01,Jorge Romero
Monitor,cuatro,949 USD,01-01-2026,Valeria Sosa
Monitor, 2,708 USD,01-01-2026,Valeria Sosa
Mouse, 2,211 USD,01-01-2026,Andrés Benítez
Mouse, 2,137 USD,01-01-2026,Elena Torres
Teclado,cuatro,246 USD,2026-01-01,Andrés Benítez
Laptop,3 ,692 USD,2026-01-01,Facundo Acosta
Monitor,cuatro,560 USD,01-01-2026,María García
Mouse, 2,549 USD,01-01-2026,Elena Torres
Teclado,1,200 USD,01-01-2026,Sara Ruiz
Mouse,1,654 USD,01-01-2026,Elena Torres
Teclado,1,24 USD,01-01-2026,Diego Díaz
Mouse,3 ,407 USD,01-01-2026,Facundo Acosta
Laptop,3 ,863 USD,2026.01.01,Sofía Giménez
Monitor,5,619 USD,2026-01-01,Lucía Sánchez
Mouse, 2,471 USD,01-01-2026,Pedro Gómez
Mouse,3 ,60 USD,2026.01.01,Andrés Benítez
Teclado, 2,766 USD,01-01-2026,Facundo Acosta
Teclado,5,188 USD,01-01-2026,Elena Torres
Teclado,1,877 USD,2026.01.01,Andrés Benítez
Teclado,cuatro,808 USD,2026.01.01,Juan Pérez
Mouse,cuatro,850 USD,2026-01-01,Sofía Giménez
Laptop, 2,110 USD,2026.01.01,Valeria Sosa
Laptop,cuatro,192 USD,2026-01-01,Sara Ruiz
Laptop, 2,146 USD,2026-01-01,Elena Torres
Laptop,1,725 USD,01-01-2026,Diego Díaz
Teclado,5,899 USD,2026.01.01,María García
Laptop,5,232 USD,2026.01.01,Sofía Giménez
Teclado,5,179 USD,2026-01-01,Lucía Sánchez
Teclado,1,752 USD,2026-01-01,Ana Martínez
Monitor,5,322 USD,01-01-2026,Pedro Gómez
Mouse,cuatro,181 USD,01-01-2026,Sara Ruiz
Laptop, 2,114 USD,01-01-2026,Diego Díaz
Monitor,5,730 USD,2026.01.01,Valeria Sosa
Teclado,5,898 USD,2026.01.01,María García
Mouse,1,11 USD,2026.01.01,Sofía Giménez
Laptop,5,907 USD,2026.01.01,Andrés Benítez
Teclado, 2,30 USD,2026-01-01,Elena Torres
Monitor,1,748 USD,2026-01-01,Jorge Romero
Teclado, 2,534 USD,2026.01.01,Lucía Sánchez
Monitor,3 ,623 USD,2026.01.01,Elena Torres
Laptop,3 ,353 USD,2026.01.01,Andrés Benítez
Teclado, 2,205 USD,2026-01-01,Andrés Benítez
Monitor,3 ,244 USD,2026.01.01,Luis Fernández
Mouse,cuatro,955 USD,2026-01-01,Facundo Acosta
Laptop,5,183 USD,01-01-2026,Luis Fernández
Monitor,3 ,24 USD,2026.01.01,Facundo Acosta
Mouse,3 ,384 USD,2026-01-01,Ana Martínez
Laptop,1,54 USD,01-01-2026,Ana Martínez
Mouse,cuatro,195 USD,2026-01-01,Ana Martínez
Teclado, 2,894 USD,01-01-2026,Juan Pérez
Monitor,cuatro,121 USD,2026.01.01,Andrés Benítez
Mouse,3 ,283 USD,2026.01.01,Elena Torres
Monitor, 2,603 USD,2026.01.01,Diego Díaz
Monitor,3 ,261 USD,2026.01.01,Ana Martínez
Mouse,5,346 USD,2026-01-01,Andrés Benítez
Mouse,5,802 USD,01-01-2026,Luis Fernández
Mouse,1,294 USD,2026.01.01,Ana Martínez
Teclado,5,286 USD,2026.01.01,Sofía Giménez
Monitor,1,911 USD,2026-01-01,Elena Torres
Mouse,cuatro,301 USD,01-01-2026,Diego Díaz
Mouse,cuatro,563 USD,01-01-2026,Sofía Giménez
Laptop,3 ,645 USD,01-01-2026,María García
Monitor,cuatro,995 USD,2026-01-01,Facundo Acosta
Teclado,cuatro,502 USD,2026.01.01,Valeria Sosa
Teclado,5,731 USD,01-01-2026,Facundo Acosta
Teclado,3 ,242 USD,01-01-2026,Valeria Sosa
Laptop, 2,820 USD,01-01-2026,Ana Martínez
Mouse,1,163 USD,01-01-2026,Pedro Gómez
Teclado, 2,207 USD,01-01-2026,Juan Pérez
Monitor,3 ,38 USD,01-01-2026,Sofía Giménez
Mouse,cuatro,363 USD,2026-01-01,Carlos López
Monitor,3 ,872 USD,2026.01.01,Pedro Gómez
Teclado,5,139 USD,2026-01-01,Ana Martínez
Laptop,cuatro,683 USD,2026-01-01,Facundo Acosta
Monitor,1,644 USD,2026.01.01,Valeria Sosa
Laptop,cuatro,20 USD,2026.01.01,Juan Pérez
Laptop,cuatro,994 USD,2026.01.01,Valeria Sosa
Laptop,1,263 USD,2026.01.01,Diego Díaz
Mouse,1,941 USD,01-01-2026,Diego Díaz
Laptop,1,753 USD,2026.01.01,Sara Ruiz
Mouse,1,986 USD,2026-01-01,Andrés Benítez
Teclado,1,661 USD,2026.01.01,Pedro Gómez
Teclado,3 ,516 USD,01-01-2026,Valeria Sosa
Teclado,cuatro,404 USD,01-01-2026,Valeria Sosa
Laptop,5,256 USD,2026-01-01,Sara Ruiz
Laptop, 2,851 USD,2026.01.01,Sofía Giménez
Mouse,5,980 USD,2026-01-01,María García
Teclado,3 ,446 USD,01-01-2026,Juan Pérez
Mouse,5,269 USD,2026-01-01,Facundo Acosta
Monitor,1,587 USD,01-01-2026,Jorge Romero
Monitor,5,901 USD,01-01-2026,Jorge Romero
Mouse,3 ,254 USD,01-01-2026,Pedro Gómez
Laptop,5,867 USD,01-01-2026,Facundo Acosta
Monitor,3 ,254 USD,2026.01.01,Luis Fernández
Monitor,cuatro,601 USD,01-01-2026,Sara Ruiz
Mouse,cuatro,365 USD,2026-01-01,Luis Fernández
Mouse,3 ,288 USD,2026.01.01,Valeria Sosa
Monitor, 2,679 USD,2026.01.01,Facundo Acosta
Laptop,3 ,410 USD,2026.01.01,Sofía Giménez
Mouse, 2,757 USD,01-01-2026,Valeria Sosa
Mouse,1,538 USD,2026.01.01,Facundo Acosta
Teclado,1,673 USD,2026-01-01,Carlos López
Laptop,cuatro,826 USD,2026-01-01,Jorge Romero
Teclado, 2,412 USD,2026-01-01,Lucía Sánchez
Laptop,5,518 USD,2026-01-01,Facundo Acosta
Monitor,3 ,667 USD,2026-01-01,María García
Teclado, 2,618 USD,01-01-2026,Valeria Sosa
Laptop,cuatro,704 USD,2026.01.01,Jorge Romero
Monitor,cuatro,745 USD,2026.01.01,Jorge Romero
Monitor,1,299 USD,2026.01.01,Lucía Sánchez
Teclado,cuatro,990 USD,2026.01.01,Andrés Benítez
Mouse, 2,847 USD,01-01-2026,Facundo Acosta
Laptop,cuatro,205 USD,01-01-2026,Juan Pérez
Monitor,5,643 USD,01-01-2026,Lucía Sánchez
Laptop,1,853 USD,01-01-2026,Ana Martínez
Monitor, 2,674 USD,01-01-2026,Facundo Acosta
Monitor, 2,23 USD,2026.01.01,Sara Ruiz
Monitor,5,666 USD,2026.01.01,Carlos López
Teclado, 2,488 USD,2026.01.01,Sofía Giménez
Teclado,3 ,63 USD,01-01-2026,Jorge Romero
Teclado,1,130 USD,2026.01.01,Luis Fernández
Teclado,5,987 USD,2026-01-01,Pedro Gómez
Mouse,cuatro,38 USD,2026-01-01,Valeria Sosa
Laptop,5,530 USD,2026-01-01,Pedro Gómez
Mouse,3 ,787 USD,01-01-2026,Elena Torres
Monitor,1,248 USD,2026.01.01,Luis Fernández
Laptop, 2,586 USD,2026-01-01,Carlos López
Teclado, 2,755 USD,01-01-2026,Andrés Benítez
Laptop,3 ,298 USD,2026-01-01,Carlos López
Mouse, 2,335 USD,2026-01-01,Sofía Giménez
Monitor, 2,676 USD,2026.01.01,Diego Díaz
Mouse,5,443 USD,2026.01.01,Andrés Benítez
Teclado,1,351 USD,01-01-2026,Valeria Sosa
Mouse, 2,387 USD,01-01-2026,Sofía Giménez
Monitor,3 ,790 USD,2026.01.01,Andrés Benítez
Mouse,cuatro,122 USD,2026-01-01,Sofía Giménez
Laptop,cuatro,869 USD,2026-01-01,Valeria Sosa
Monitor,5,411 USD,2026.01.01,Andrés Benítez
Mouse,3 ,928 USD,01-01-2026,Lucía Sánchez
Laptop,1,978 USD,2026-01-01,Carlos López
Laptop,1,464 USD,2026.01.01,Pedro Gómez
Laptop,cuatro,256 USD,2026-01-01,Elena Torres
Monitor,cuatro,335 USD,01-01-2026,Lucía Sánchez
Laptop, 2,290 USD,2026.01.01,Valeria Sosa
Monitor,1,874 USD,2026-01-01,Elena Torres
Mouse,5,812 USD,01-01-2026,Carlos López
Laptop,5,494 USD,01-01-2026,Juan Pérez
Laptop,3 ,871 USD,2026-01-01,Carlos López
Teclado,3 ,523 USD,01-01-2026,Ana Martínez
Mouse,5,619 USD,2026-01-01,Juan Pérez
Laptop, 2,513 USD,2026-01-01,Facundo Acosta
Monitor,5,256 USD,01-01-2026,Valeria Sosa
Monitor,5,892 USD,2026-01-01,Sara Ruiz
Laptop,3 ,67 USD,01-01-2026,Jorge Romero
Monitor,5,48 USD,2026.01.01,María García
Monitor,cuatro,858 USD,2026.01.01,Jorge Romero
Laptop,5,430 USD,01-01-2026,Ana Martínez
Laptop,3 ,339 USD,2026.01.01,Juan Pérez
Laptop,3 ,457 USD,2026.01.01,María García
Monitor,5,619 USD,2026-01-01,Pedro Gómez
Monitor,5,137 USD,2026.01.01,Ana Martínez
Teclado,1,831 USD,2026-01-01,Juan Pérez
Monitor,cuatro,872 USD,01-01-2026,Andrés Benítez
Teclado, 2,719 USD,2026-01-01,Andrés Benítez
Monitor,5,490 USD,2026-01-01,Jorge Romero
Mouse,cuatro,764 USD,2026-01-01,Juan Pérez
Teclado, 2,170 USD,2026.01.01,Valeria Sosa
Monitor,3 ,859 USD,01-01-2026,Carlos López
Monitor,5,40 USD,2026-01-01,Valeria Sosa
Teclado, 2,615 USD,2026-01-01,Ana Martínez
Teclado, 2,898 USD,2026.01.01,Lucía Sánchez
Teclado,5,785 USD,2026-01-01,Carlos López
Mouse, 2,276 USD,2026-01-01,Luis Fernández
Teclado,5,732 USD,01-01-2026,Sofía Giménez
Laptop, 2,576 USD,2026.01.01,Sofía Giménez
Teclado,cuatro,744 USD,2026-01-01,María García
Teclado,cuatro,367 USD,2026-01-01,Valeria Sosa
Teclado,1,708 USD,2026.01.01,Juan Pérez
Mouse, 2,448 USD,01-01-2026,María García
Laptop,1,361 USD,01-01-2026,Ana Martínez
Monitor,3 ,215 USD,2026-01-01,Andrés Benítez
Teclado,1,538 USD,01-01-2026,Elena Torres
